"CODE_TYPE","CODE_ID","CODE_DESCR"
"COURSE","026AA","Postgraduate Diploma in Agricultural Science"
"COURSE","029AA","Complementary Course - Land and Environment"
"COURSE","029BU","Complementary Course - Land and Environment"
"COURSE","029DO","Complementary Course - Land and Environment"
"COURSE","029PC","Complementary Course - Land and Environment"
"COURSE","029PG","Complementary Course - Land and Environment"
"COURSE","031AB","Postgraduate Diploma in Clinical Dentistry"
"COURSE","035AA","Bachelor of Dance (VCA)"
"COURSE","038AB","Master of Art Curatorship"
"COURSE","051AA","Ph.D.- Architecture & Planning"
"COURSE","079AA","Graduate Certificate in Agribusiness"
"COURSE","080CC","Master of Psychology (Clinical Child Psychology)/Doctor of Philosophy"
"COURSE","080CL","Master of Psychology (Clinical Psychology)/Doctor of Philosophy"
"COURSE","080CN","Master of Psychology (Clinical Neuropsychology)/Doctor of Philosophy"
"COURSE","095EC","Postgraduate Diploma in Arts (Editing and Communications)"
"COURSE","095MC","Postgraduate Diploma in Arts (Media and Communication)"
"COURSE","097AB","Master of Development Studies"
"COURSE","097GD","Master of Development Studies (Gender & Development)"
"COURSE","099AA","Complementary Course - Architecture & Planning"
"COURSE","099PG","Complementary Course - Architecture & Planning"
"COURSE","101AA","Ph.D.- Arts"
"COURSE","101AC","Ph.D.Arts (Cotutelle/Ecole des Hautes Eydes en Sciences Sociales Paris)"
"COURSE","102CD","Master of Arts (Screen Studies)"
"COURSE","102CE","Master of Arts in Classics and Archaeology (Thesis)"
"COURSE","102CW","Master of Arts (Creative Writing) (Research/Creative)"
"COURSE","102EA","Master of Arts in English Language and Literature (Thesis)"
"COURSE","102EU","Master of Arts (Professional and Applied Ethics)"
"COURSE","102MA","Master of Arts in Linguistics (Thesis)"
"COURSE","102NC","Master of Arts in Philosophy (Advanced Seminars and Shorter Thesis)"
"COURSE","102PS","Master of Arts (Policy Studies)(Advanced Seminars & Shorter Thesis)"
"COURSE","102SR","Master of Arts (Sociology) by Research"
"COURSE","104AA","Bachelor of Arts (Degree with Honours)"
"COURSE","105MC","Bachelor of Arts(Media and Communications)"
"COURSE","123AH","Graduate Diploma in Adolescent Health and Welfare"
"COURSE","135AA","Graduate Certificate in Adolescent Health and Welfare"
"COURSE","138TE","Postgraduate Diploma in Educational Studies (TESOL)"
"COURSE","161IN","Master of Music Studies"
"COURSE","161MP","Master of Music Studies by Coursework(Performance/Teaching)"
"COURSE","175AA","Master of Arts and Cultural Management"
"COURSE","178AA","Graduate Diploma in Government Law"
"COURSE","187AA","Graduate Diploma in Tax"
"COURSE","188AA","Graduate Diploma in Employment and Labour Relations Law"
"COURSE","189AA","Graduate Diploma in Construction Law"
"COURSE","191AA","Graduate Diploma in International Tax"
"COURSE","192AA","Master of International Tax"
"COURSE","195AA","Master of Construction Law"
"COURSE","199AA","Complementary Course - Arts"
"COURSE","199PG","Complementary Course - Arts (Postgraduate)"
"COURSE","201BE","Doctor of Philosophy - Business and Economics"
"COURSE","202AF","Master of Commerce (Finance)"
"COURSE","206EC","Master of Environmental Engineering"
"COURSE","208IP","Graduate Diploma in Mental Health Sciences (Infant and Parent Ment.Hlth)"
"COURSE","208YP","Graduate Diploma in Mental Health Sciences(Young People's Mental Health)"
"COURSE","211AB","Ph.D.- Melbourne Business School"
"COURSE","212AF","Master of Business Administration (Executive) II"
"COURSE","212FN","Master of Business Administration"
"COURSE","212FT","Master of Business Administration"
