,n_value,accuracy_1,accuracy_5,accuracy_10
0,5,479,891,999
1,10,568,979,1123
2,15,583,1010,1168
3,20,599,1031,1209
4,25,615,1048,1233
5,30,629,1067,1244
6,35,626,1075,1252
7,40,625,1074,1255
8,45,620,1070,1269
9,50,625,1069,1275
10,55,628,1087,1275
11,60,626,1084,1280
12,65,627,1097,1283
13,70,627,1099,1284
14,75,629,1096,1286
15,80,630,1098,1288
16,85,631,1100,1288
17,90,631,1100,1291
18,95,631,1103,1295
19,100,632,1106,1293
20,105,631,1106,1301
21,110,632,1111,1302
22,115,632,1122,1294
23,120,632,1122,1298
24,125,632,1117,1295
25,130,631,1107,1292
26,135,631,1106,1293
27,140,631,1110,1292
28,145,631,1106,1290
29,150,631,1104,1286
30,155,631,1105,1289
31,160,631,1103,1289
32,165,631,1104,1289
33,170,631,1110,1290
34,175,631,1108,1297
35,180,631,1106,1300
36,185,631,1111,1295
37,190,631,1112,1298
38,195,631,1110,1296
39,200,631,1111,1296
40,205,631,1114,1297
41,210,631,1116,1294
42,215,631,1117,1296
43,220,631,1119,1300
44,225,631,1117,1301
45,230,631,1123,1297
46,235,631,1123,1299
47,240,631,1120,1302
48,245,631,1121,1301
49,250,631,1121,1301
50,255,631,1120,1302
51,260,631,1118,1305
52,265,631,1123,1303
53,270,631,1120,1298
54,275,631,1118,1295
55,280,631,1120,1298
56,285,631,1122,1295
57,290,631,1125,1295
58,295,631,1125,1297
59,300,631,1123,1297
60,305,631,1127,1302
61,310,631,1127,1304
62,315,631,1125,1305
63,320,631,1126,1300
64,325,631,1125,1299
65,330,631,1129,1302
66,335,631,1129,1296
67,340,631,1128,1293
68,345,631,1128,1294
69,350,631,1125,1297
70,355,631,1124,1294
71,360,631,1125,1297
72,365,631,1127,1300
73,370,631,1127,1301
74,375,631,1125,1302
75,380,631,1125,1302
76,385,631,1126,1301
77,390,631,1126,1302
78,395,631,1124,1303
79,400,631,1126,1297
80,405,631,1127,1294
81,410,631,1125,1294
82,415,631,1125,1300
83,420,631,1127,1301
84,425,631,1125,1309
85,430,631,1127,1308
86,435,631,1127,1314
87,440,631,1127,1311
88,445,631,1128,1309
89,450,631,1127,1306
90,455,631,1126,1302
91,460,631,1127,1302
92,465,631,1127,1303
93,470,631,1128,1301
94,475,631,1129,1303
95,480,631,1130,1301
96,485,631,1131,1302
97,490,631,1131,1302
98,495,631,1130,1304
99,500,631,1128,1306
100,505,631,1128,1305
101,510,631,1128,1305
102,515,631,1127,1308
103,520,631,1127,1310
104,525,631,1126,1308
105,530,631,1126,1315
106,535,631,1126,1316
107,540,631,1126,1315
108,545,631,1128,1315
109,550,631,1129,1314
110,555,631,1129,1315
111,560,631,1129,1305
112,565,631,1128,1314
113,570,631,1128,1314
114,575,631,1129,1314
115,580,631,1126,1312
116,585,631,1126,1310
117,590,631,1124,1310
118,595,631,1125,1307
119,600,631,1125,1306
120,605,631,1125,1307
121,610,631,1126,1308
122,615,631,1126,1307
123,620,631,1126,1306
124,625,631,1127,1307
125,630,631,1126,1308
126,635,631,1126,1308
127,640,631,1126,1310
128,645,631,1128,1311
129,650,631,1128,1312
130,655,631,1128,1310
131,660,631,1127,1309
132,665,631,1129,1308
133,670,631,1130,1308
134,675,631,1129,1309
135,680,631,1130,1309
136,685,631,1130,1310
137,690,631,1128,1309
138,695,631,1128,1310
139,700,631,1128,1310
140,705,631,1128,1310
141,710,631,1128,1309
142,715,631,1128,1312
143,720,631,1129,1305
144,725,631,1129,1304
145,730,631,1129,1304
146,735,631,1129,1306
147,740,631,1128,1306
148,745,631,1128,1304
149,750,631,1129,1302
150,755,631,1129,1303
151,760,631,1129,1305
152,765,631,1129,1306
153,770,631,1129,1305
154,775,631,1129,1309
155,780,631,1129,1306
156,785,631,1129,1304
157,790,631,1129,1306
158,795,631,1128,1304
