,n_value,accuracy_1,accuracy_5,accuracy_10
0,5,477,872,993
1,10,554,958,1103
2,15,587,994,1157
3,20,601,1024,1192
4,25,605,1056,1212
5,30,616,1071,1220
6,35,624,1071,1228
7,40,627,1066,1238
8,45,628,1081,1248
9,50,626,1087,1255
10,55,628,1097,1264
11,60,629,1103,1266
12,65,628,1101,1271
13,70,628,1105,1272
14,75,629,1108,1278
15,80,630,1109,1275
16,85,630,1108,1276
17,90,630,1113,1282
18,95,631,1109,1288
19,100,630,1108,1288
20,105,631,1107,1297
21,110,631,1109,1294
22,115,631,1112,1290
23,120,631,1106,1297
24,125,631,1105,1292
25,130,631,1107,1292
26,135,631,1103,1292
27,140,631,1105,1297
28,145,631,1107,1297
29,150,631,1111,1291
30,155,631,1109,1290
31,160,631,1111,1291
32,165,631,1107,1295
33,170,631,1111,1290
34,175,631,1112,1291
35,180,631,1112,1297
36,185,631,1114,1302
37,190,631,1112,1306
38,195,631,1109,1306
39,200,631,1111,1301
40,205,631,1112,1299
41,210,631,1112,1301
42,215,631,1111,1302
43,220,631,1109,1306
44,225,631,1112,1308
45,230,631,1114,1305
46,235,631,1111,1303
47,240,631,1108,1299
48,245,631,1108,1302
49,250,631,1108,1298
50,255,631,1110,1304
51,260,631,1110,1304
52,265,631,1110,1304
53,270,631,1115,1311
54,275,631,1114,1313
55,280,631,1114,1314
56,285,631,1114,1308
57,290,631,1117,1311
58,295,631,1119,1312
59,300,631,1120,1312
60,305,631,1121,1316
61,310,631,1119,1314
62,315,631,1118,1315
63,320,631,1120,1316
64,325,631,1118,1315
65,330,631,1120,1312
66,335,631,1118,1313
67,340,631,1124,1312
68,345,631,1120,1314
69,350,631,1121,1312
70,355,631,1120,1311
71,360,631,1122,1313
72,365,631,1123,1312
73,370,631,1122,1312
74,375,631,1122,1313
75,380,631,1124,1310
76,385,631,1123,1308
77,390,631,1122,1310
78,395,631,1121,1311
79,400,631,1122,1311
80,405,631,1123,1309
81,410,631,1123,1307
82,415,631,1121,1308
83,420,631,1122,1309
84,425,631,1123,1310
85,430,631,1124,1311
86,435,631,1124,1306
87,440,631,1122,1306
88,445,631,1119,1304
89,450,631,1120,1305
90,455,631,1122,1309
91,460,631,1121,1310
92,465,631,1122,1311
93,470,631,1122,1308
94,475,631,1122,1311
95,480,631,1123,1310
96,485,631,1125,1312
97,490,631,1123,1313
98,495,631,1124,1312
99,500,631,1124,1311
100,505,631,1125,1312
101,510,631,1124,1315
102,515,631,1124,1314
103,520,631,1124,1313
104,525,631,1123,1314
105,530,631,1122,1315
106,535,631,1122,1315
107,540,631,1122,1315
108,545,631,1121,1315
109,550,631,1122,1316
110,555,631,1122,1316
111,560,631,1123,1316
112,565,631,1123,1313
113,570,631,1124,1313
114,575,631,1125,1310
115,580,631,1124,1312
116,585,631,1124,1312
117,590,631,1124,1316
118,595,631,1124,1317
119,600,631,1126,1317
120,605,631,1125,1315
121,610,631,1125,1316
122,615,631,1124,1316
123,620,631,1125,1317
124,625,631,1125,1318
125,630,631,1125,1318
126,635,631,1126,1316
127,640,631,1127,1316
128,645,631,1127,1317
129,650,631,1127,1317
130,655,631,1127,1318
131,660,631,1127,1320
132,665,631,1127,1315
133,670,631,1127,1315
134,675,631,1127,1316
135,680,631,1127,1316
136,685,631,1127,1315
137,690,631,1128,1314
138,695,631,1128,1317
139,700,631,1128,1319
140,705,631,1128,1319
141,710,631,1128,1318
142,715,631,1127,1318
143,720,631,1127,1317
144,725,631,1127,1319
145,730,631,1128,1319
146,735,631,1128,1317
147,740,631,1128,1316
148,745,631,1128,1316
149,750,631,1128,1317
150,755,631,1128,1319
