,n_value,accuracy_1,accuracy_5,accuracy_10
0,5,146,856,976
1,10,146,960,1112
2,15,146,987,1168
3,20,146,1002,1194
4,25,147,1004,1205
5,30,154,1016,1219
6,35,168,1024,1219
7,40,198,1045,1222
8,45,229,1049,1225
9,50,265,1054,1226
10,55,308,1062,1232
11,60,350,1067,1239
12,65,397,1060,1242
13,70,428,1064,1247
14,75,458,1069,1247
15,80,481,1071,1250
16,85,497,1075,1248
17,90,519,1074,1242
18,95,525,1072,1239
19,100,538,1076,1241
20,105,550,1080,1244
21,110,554,1079,1250
22,115,562,1083,1253
23,120,565,1084,1257
24,125,569,1086,1254
25,130,572,1085,1259
26,135,579,1087,1259
27,140,582,1082,1264
28,145,590,1080,1268
29,150,594,1082,1267
30,155,597,1080,1271
31,160,602,1084,1272
32,165,605,1089,1269
33,170,603,1086,1273
34,175,606,1080,1271
35,180,606,1082,1277
36,185,606,1082,1276
37,190,607,1081,1278
38,195,609,1082,1280
