,n_value,accuracy_1,accuracy_5,accuracy_10
0,5,581,1038,1171
1,10,646,1091,1251
2,15,659,1116,1286
3,20,663,1128,1296
4,25,656,1131,1302
5,30,661,1136,1304
6,35,661,1140,1310
7,40,662,1143,1312
8,45,666,1148,1312
9,50,668,1146,1315
10,55,667,1146,1316
11,60,662,1150,1321
12,65,661,1150,1322
13,70,660,1154,1325
14,75,659,1156,1326
15,80,664,1155,1333
16,85,662,1154,1333
17,90,659,1152,1339
18,95,658,1155,1339
19,100,655,1156,1345
20,105,652,1157,1347
21,110,652,1154,1343
22,115,651,1153,1342
23,120,652,1152,1342
24,125,652,1151,1342
25,130,651,1150,1343
26,135,654,1148,1345
27,140,652,1149,1343
28,145,652,1148,1341
29,150,650,1147,1341
30,155,647,1145,1343
31,160,645,1141,1343
32,165,642,1139,1342
33,170,641,1140,1340
34,175,639,1138,1341
35,180,639,1135,1339
36,185,638,1135,1337
37,190,637,1135,1334
38,195,640,1133,1334
