,n_value,accuracy_1,accuracy_5,accuracy_10
0,5,632,1071,1185
1,10,660,1106,1257
2,15,673,1122,1294
3,20,673,1133,1314
4,25,668,1134,1323
5,30,670,1140,1329
6,35,670,1140,1330
7,40,666,1143,1331
8,45,663,1146,1329
9,50,660,1145,1334
10,55,664,1145,1334
11,60,661,1152,1336
12,65,661,1153,1335
13,70,661,1157,1336
14,75,661,1158,1333
15,80,661,1156,1338
16,85,660,1157,1341
17,90,657,1154,1344
18,95,656,1155,1345
19,100,654,1158,1351
20,105,650,1157,1353
21,110,653,1154,1350
22,115,654,1152,1349
23,120,655,1149,1351
24,125,657,1147,1349
25,130,656,1147,1349
26,135,657,1144,1349
27,140,656,1146,1348
28,145,654,1146,1347
29,150,652,1145,1349
30,155,648,1142,1350
31,160,645,1137,1346
32,165,642,1138,1346
33,170,641,1138,1344
34,175,641,1135,1341
35,180,641,1134,1341
36,185,638,1134,1337
37,190,640,1134,1336
38,195,640,1132,1335
39,200,638,1131,1335
40,205,637,1130,1335
41,210,634,1127,1335
42,215,636,1124,1334
43,220,638,1124,1335
44,225,638,1123,1335
45,230,637,1117,1335
46,235,634,1114,1333
47,240,635,1115,1333
48,245,635,1116,1333
49,250,636,1116,1334
50,255,636,1114,1334
51,260,635,1112,1335
52,265,635,1111,1334
53,270,635,1110,1335
54,275,635,1109,1334
55,280,637,1107,1331
56,285,636,1105,1331
57,290,636,1106,1329
58,295,637,1106,1328
59,300,637,1103,1325
60,305,636,1103,1326
61,310,634,1103,1325
62,315,634,1103,1325
63,320,635,1101,1325
64,325,634,1100,1326
65,330,632,1097,1326
66,335,631,1096,1325
67,340,630,1094,1324
68,345,629,1095,1325
69,350,627,1095,1324
70,355,626,1094,1326
71,360,626,1092,1326
72,365,628,1088,1325
73,370,628,1085,1325
74,375,627,1084,1323
75,380,626,1080,1321
76,385,623,1080,1320
77,390,624,1079,1320
78,395,624,1078,1320
79,400,623,1077,1321
80,405,622,1076,1322
81,410,622,1077,1323
82,415,619,1075,1324
83,420,618,1074,1322
84,425,618,1075,1320
85,430,617,1074,1320
86,435,616,1075,1318
87,440,615,1074,1319
88,445,615,1074,1321
89,450,612,1073,1319
90,455,612,1073,1318
91,460,611,1072,1317
92,465,611,1071,1315
93,470,607,1068,1312
94,475,607,1066,1310
95,480,606,1063,1308
96,485,605,1060,1307
97,490,604,1060,1305
98,495,604,1060,1307
99,500,602,1057,1307
100,505,601,1057,1307
101,510,602,1059,1307
102,515,603,1057,1308
103,520,603,1055,1308
104,525,602,1056,1306
105,530,600,1056,1303
106,535,599,1048,1301
107,540,599,1047,1300
108,545,598,1047,1300
109,550,596,1046,1300
110,555,593,1045,1300
111,560,588,1042,1300
112,565,586,1042,1299
113,570,584,1042,1297
114,575,582,1042,1295
115,580,583,1042,1295
116,585,581,1040,1294
117,590,581,1038,1293
118,595,579,1038,1291
119,600,576,1039,1291
120,605,573,1037,1291
121,610,572,1037,1290
122,615,571,1037,1290
123,620,570,1038,1289
124,625,570,1038,1288
125,630,568,1038,1288
126,635,569,1036,1287
127,640,570,1034,1286
128,645,566,1032,1286
129,650,564,1032,1286
130,655,563,1031,1283
131,660,562,1030,1283
132,665,562,1028,1282
133,670,562,1027,1278
134,675,562,1027,1276
135,680,560,1024,1274
136,685,556,1025,1274
137,690,554,1022,1274
138,695,552,1021,1274
139,700,552,1021,1272
140,705,550,1019,1271
141,710,546,1014,1270
142,715,547,1015,1267
143,720,546,1015,1265
144,725,546,1014,1265
145,730,545,1012,1266
146,735,545,1011,1265
147,740,543,1011,1264
148,745,543,1011,1263
149,750,539,1010,1263
150,755,539,1005,1263
151,760,537,1003,1262
152,765,537,1003,1262
153,770,538,1002,1259
154,775,537,1003,1258
155,780,536,999,1257
156,785,535,998,1257
157,790,535,995,1257
158,795,534,994,1257
159,800,527,996,1257
160,805,527,995,1258
161,810,525,994,1258
162,815,522,994,1259
163,820,520,994,1259
164,825,518,993,1259
165,830,519,993,1259
166,835,517,994,1258
167,840,516,994,1258
168,845,516,993,1256
169,850,515,991,1256
170,855,515,989,1255
171,860,512,989,1254
172,865,510,987,1253
173,870,508,985,1251
174,875,508,985,1251
175,880,509,985,1250
176,885,508,985,1251
177,890,507,985,1251
178,895,507,985,1251
179,900,506,985,1250
180,905,506,985,1250
181,910,506,985,1252
182,915,507,985,1250
183,920,504,985,1250
184,925,504,985,1250
185,930,501,985,1250
186,935,501,985,1250
187,940,501,985,1250
188,945,501,985,1250
189,950,501,984,1248
190,955,499,983,1247
191,960,498,983,1246
192,965,496,982,1246
193,970,492,982,1246
194,975,492,982,1245
195,980,491,982,1245
196,985,490,982,1245
197,990,489,982,1244
198,995,488,982,1243
199,1000,489,983,1242
200,1005,488,981,1242
201,1010,488,980,1242
202,1015,487,980,1240
203,1020,485,980,1239
204,1025,484,981,1238
205,1030,484,981,1237
206,1035,484,980,1236
207,1040,484,979,1236
208,1045,484,980,1236
209,1050,484,980,1235
210,1055,484,980,1235
211,1060,483,979,1234
212,1065,483,979,1234
213,1070,483,979,1234
214,1075,482,977,1234
215,1080,482,977,1234
216,1085,482,977,1234
217,1090,482,975,1234
218,1095,481,975,1234
219,1100,481,975,1233
220,1105,479,975,1233
221,1110,479,975,1232
222,1115,479,975,1232
223,1120,478,975,1232
224,1125,478,974,1231
225,1130,476,974,1231
226,1135,475,975,1232
227,1140,475,975,1233
228,1145,474,975,1233
229,1150,473,975,1232
230,1155,474,974,1232
231,1160,474,974,1232
232,1165,474,973,1232
233,1170,473,972,1230
234,1175,472,972,1229
235,1180,472,972,1229
236,1185,469,971,1228
237,1190,470,971,1229
238,1195,469,971,1230
239,1200,469,972,1229
240,1205,468,972,1228
241,1210,469,972,1228
242,1215,468,971,1228
243,1220,466,971,1229
244,1225,466,971,1228
245,1230,466,971,1226
246,1235,466,971,1224
247,1240,464,971,1224
248,1245,463,971,1224
249,1250,461,971,1222
250,1255,460,971,1223
251,1260,458,970,1223
252,1265,456,970,1223
253,1270,455,970,1223
254,1275,454,970,1223
255,1280,452,970,1223
256,1285,450,970,1220
257,1290,446,970,1219
258,1295,445,970,1219
259,1300,444,970,1219
260,1305,444,970,1218
261,1310,443,970,1221
262,1315,442,970,1221
263,1320,441,970,1220
264,1325,440,970,1219
265,1330,439,970,1219
266,1335,439,969,1219
267,1340,439,969,1220
268,1345,439,969,1219
269,1350,436,969,1218
270,1355,434,969,1219
271,1360,434,969,1219
272,1365,434,969,1219
273,1370,433,969,1217
274,1375,433,969,1217
275,1380,432,969,1217
276,1385,432,969,1217
277,1390,432,969,1218
278,1395,432,969,1216
279,1400,431,969,1217
280,1405,431,969,1217
281,1410,429,969,1216
282,1415,429,969,1216
283,1420,428,969,1215
284,1425,428,969,1215
285,1430,428,968,1215
286,1435,428,968,1215
287,1440,428,968,1214
288,1445,427,968,1214
289,1450,427,968,1214
290,1455,427,968,1213
291,1460,427,968,1213
292,1465,427,968,1213
293,1470,427,967,1213
294,1475,427,967,1213
295,1480,427,967,1213
296,1485,422,967,1213
297,1490,422,966,1212
298,1495,422,966,1211
299,1500,422,966,1211
300,1505,422,966,1211
301,1510,422,966,1211
302,1515,422,964,1211
303,1520,422,963,1211
304,1525,421,962,1210
305,1530,420,959,1210
306,1535,420,959,1210
307,1540,419,959,1210
308,1545,415,956,1211
309,1550,410,954,1210
310,1555,410,954,1210
311,1560,410,954,1210
312,1565,410,954,1210
313,1570,410,954,1209
314,1575,410,954,1209
315,1580,410,954,1208
316,1585,408,954,1208
317,1590,407,954,1208
318,1595,405,954,1207
319,1600,405,954,1206
320,1605,404,953,1205
321,1610,403,953,1205
322,1615,403,953,1205
323,1620,403,953,1205
324,1625,402,952,1203
325,1630,402,952,1203
326,1635,400,952,1202
327,1640,396,952,1202
328,1645,395,952,1202
329,1650,395,952,1202
330,1655,391,952,1202
331,1660,389,952,1200
332,1665,389,952,1199
333,1670,388,952,1200
334,1675,388,952,1200
335,1680,387,952,1199
336,1685,386,952,1198
337,1690,385,952,1196
338,1695,385,951,1195
339,1700,385,951,1195
340,1705,385,951,1195
341,1710,384,951,1192
342,1715,383,951,1192
343,1720,383,951,1192
344,1725,383,951,1192
345,1730,383,949,1191
346,1735,383,949,1190
347,1740,381,949,1190
348,1745,381,949,1192
349,1750,379,949,1191
350,1755,379,949,1191
351,1760,379,949,1191
352,1765,379,949,1191
353,1770,377,949,1191
354,1775,377,949,1193
355,1780,376,949,1193
356,1785,376,949,1193
357,1790,375,950,1193
358,1795,374,950,1193
359,1800,374,950,1194
360,1805,374,950,1193
361,1810,374,950,1193
362,1815,372,950,1193
363,1820,372,950,1193
364,1825,372,950,1192
365,1830,372,950,1192
366,1835,372,950,1192
367,1840,372,950,1191
368,1845,372,950,1190
369,1850,372,950,1190
370,1855,372,950,1189
371,1860,372,950,1189
372,1865,372,950,1188
373,1870,372,950,1188
374,1875,372,950,1188
375,1880,372,950,1188
376,1885,372,950,1189
377,1890,372,950,1187
378,1895,372,950,1185
379,1900,372,950,1185
380,1905,372,949,1185
381,1910,371,949,1185
382,1915,371,949,1185
383,1920,371,948,1183
384,1925,371,948,1183
385,1930,371,948,1183
386,1935,371,948,1182
387,1940,371,948,1181
388,1945,370,948,1179
389,1950,370,948,1179
390,1955,370,948,1179
391,1960,370,948,1179
392,1965,369,948,1176
393,1970,369,948,1176
394,1975,369,947,1176
395,1980,369,946,1174
396,1985,369,946,1174
397,1990,369,946,1174
398,1995,369,946,1174
399,2000,369,946,1174
400,2005,365,946,1174
401,2010,363,946,1174
402,2015,363,945,1173
403,2020,360,945,1171
404,2025,360,945,1170
405,2030,360,945,1171
406,2035,359,945,1171
407,2040,359,945,1170
408,2045,358,944,1170
409,2050,358,944,1170
410,2055,358,944,1170
411,2060,358,944,1170
412,2065,358,943,1170
413,2070,358,943,1170
414,2075,358,943,1171
415,2080,358,943,1172
416,2085,358,942,1172
417,2090,358,942,1172
418,2095,358,942,1172
419,2100,358,942,1171
420,2105,358,942,1172
421,2110,358,942,1172
422,2115,358,942,1172
423,2120,358,942,1173
424,2125,358,942,1173
425,2130,358,942,1172
426,2135,358,942,1173
427,2140,358,942,1173
428,2145,358,942,1173
429,2150,358,942,1173
430,2155,358,943,1172
431,2160,358,942,1172
432,2165,358,942,1172
433,2170,358,942,1172
434,2175,358,942,1172
435,2180,358,942,1172
436,2185,358,942,1171
437,2190,358,941,1171
438,2195,358,941,1171
439,2200,358,941,1169
440,2205,358,941,1168
441,2210,358,941,1168
442,2215,358,941,1168
443,2220,358,941,1168
444,2225,358,941,1168
445,2230,358,941,1168
446,2235,358,941,1168
447,2240,358,941,1167
448,2245,358,941,1166
449,2250,358,941,1166
450,2255,358,941,1165
451,2260,358,941,1165
452,2265,358,941,1165
453,2270,358,941,1165
454,2275,358,941,1164
455,2280,358,941,1163
456,2285,358,940,1164
457,2290,358,940,1165
458,2295,358,940,1165
459,2300,358,940,1165
460,2305,358,940,1164
461,2310,358,940,1162
462,2315,358,940,1162
463,2320,358,940,1162
464,2325,358,940,1161
465,2330,358,940,1161
466,2335,358,940,1161
467,2340,358,940,1161
468,2345,358,940,1162
469,2350,358,940,1162
470,2355,358,940,1162
471,2360,358,940,1160
472,2365,358,940,1160
473,2370,358,940,1159
474,2375,358,940,1159
475,2380,358,940,1158
476,2385,358,940,1157
477,2390,358,940,1157
478,2395,358,940,1157
479,2400,358,940,1157
480,2405,358,940,1157
481,2410,358,940,1157
482,2415,358,940,1157
483,2420,358,940,1157
484,2425,358,940,1157
485,2430,358,940,1157
486,2435,358,939,1156
487,2440,358,939,1155
488,2445,358,939,1154
489,2450,358,939,1153
490,2455,358,939,1153
491,2460,358,939,1153
492,2465,358,939,1153
493,2470,358,939,1153
494,2475,358,939,1153
495,2480,358,939,1153
496,2485,358,939,1152
497,2490,358,939,1151
498,2495,358,939,1150
499,2500,358,939,1149
500,2505,358,939,1146
501,2510,358,939,1146
502,2515,358,939,1146
503,2520,358,939,1146
504,2525,358,939,1146
505,2530,358,939,1145
506,2535,358,939,1145
507,2540,358,938,1145
508,2545,358,938,1144
509,2550,358,938,1144
510,2555,358,938,1144
511,2560,358,938,1143
512,2565,358,938,1143
513,2570,358,938,1143
514,2575,358,938,1142
515,2580,358,938,1142
516,2585,358,938,1142
517,2590,358,938,1142
518,2595,358,938,1142
519,2600,358,938,1141
520,2605,358,938,1141
521,2610,358,938,1141
522,2615,358,938,1141
523,2620,358,938,1141
524,2625,358,938,1141
525,2630,358,938,1140
526,2635,358,938,1140
527,2640,358,938,1140
528,2645,358,938,1139
529,2650,358,938,1139
530,2655,358,938,1139
531,2660,358,938,1139
532,2665,358,938,1139
533,2670,358,938,1140
534,2675,358,938,1140
535,2680,358,938,1140
536,2685,358,938,1140
537,2690,358,938,1141
538,2695,358,938,1140
539,2700,358,938,1140
540,2705,358,938,1140
541,2710,358,937,1140
542,2715,358,937,1140
543,2720,358,936,1139
544,2725,358,935,1138
545,2730,358,934,1138
546,2735,358,934,1138
547,2740,358,934,1138
548,2745,358,934,1137
549,2750,358,934,1137
550,2755,358,933,1137
551,2760,358,933,1137
552,2765,358,932,1136
553,2770,358,932,1136
554,2775,358,932,1136
555,2780,358,932,1136
556,2785,358,932,1136
557,2790,358,931,1135
558,2795,358,931,1135
559,2800,358,931,1135
560,2805,358,931,1135
561,2810,358,931,1134
562,2815,358,931,1134
563,2820,358,931,1134
564,2825,358,931,1134
565,2830,358,931,1133
566,2835,358,931,1132
567,2840,358,930,1131
568,2845,358,930,1131
569,2850,358,929,1130
570,2855,358,929,1130
571,2860,358,929,1130
572,2865,358,927,1130
573,2870,358,927,1130
574,2875,358,927,1129
575,2880,358,927,1129
576,2885,358,927,1129
577,2890,358,927,1129
578,2895,358,927,1129
579,2900,358,927,1129
580,2905,358,927,1129
581,2910,358,927,1129
582,2915,358,927,1129
583,2920,358,924,1129
584,2925,358,924,1129
585,2930,358,924,1129
586,2935,358,924,1130
587,2940,358,924,1129
588,2945,358,924,1129
589,2950,358,924,1129
590,2955,358,924,1129
591,2960,358,924,1129
592,2965,358,922,1129
593,2970,358,922,1129
594,2975,358,922,1129
595,2980,358,922,1129
596,2985,358,922,1129
597,2990,358,922,1129
598,2995,358,923,1128
599,3000,358,923,1126
600,3005,358,923,1126
601,3010,358,923,1126
602,3015,358,923,1126
603,3020,358,923,1126
604,3025,358,923,1126
605,3030,358,923,1126
606,3035,358,923,1126
607,3040,358,923,1126
608,3045,358,923,1126
609,3050,358,923,1126
610,3055,358,923,1126
611,3060,358,923,1126
612,3065,358,922,1126
613,3070,358,922,1126
614,3075,358,922,1126
615,3080,358,922,1126
616,3085,358,922,1126
617,3090,358,921,1126
618,3095,358,921,1126
619,3100,358,921,1126
620,3105,358,921,1125
621,3110,358,921,1125
622,3115,358,921,1124
623,3120,358,921,1124
624,3125,358,921,1124
625,3130,358,921,1124
