STU_ID_PROXY,COURSE_CREDITS_REQ_bach,FACULTY_CODE_bach,LOCATION_CODE_bach,STUDY_YEAR_bach,N_SUBJECTS_bach,CODE_DESCR_bach,top5_bach_bach,COURSE_CODE,COURSE_CREDITS_REQ_mast,FACULTY_CODE_mast,LOCATION_CODE_mast,STUDY_YEAR_mast,N_SUBJECTS_mast,CODE_DESCR_mast,IS_GENDER_MALE,AGE_BAND,STATE,IS_INTERNATIONAL,HOME_LANGUAGE,ATAR_BAND,LANGUAGE_TEST_TYPE,LANGUAGE_TEST_SCORE
141052,100.0,603,U,2010,4,Bachelor of Science (Degree with Honours),BSC,MC-ENG,300.0,400.0,U,2015.0,7.0,Master of Engineering,0,22-24,,0,Not English,,Not Entered, 
70862,300.0,702,U,2010,8,Bachelor of Environments,BOE,MC-ARCH2Y,200.0,702.0,U,2014.0,3.0,Master of Architecture,1,25-29,,0,Not English,,Not Entered, 
147489,100.0,603,U,2010,4,Bachelor of Science (Degree with Honours),BSC,MC-DMED,400.0,500.0,U,2015.0,3.0,Doctor of Medicine,1,20-21,,0,English,,Not Entered, 
192087,100.0,603,U,2010,4,Bachelor of Science (Degree with Honours),BSC,305BB,200.0,500.0,U,2014.0,7.0,Master of Clinical Audiology,0,20-21,VIC,0,English,,Not Entered, 
107737,100.0,603,U,2010,4,Bachelor of Science (Degree with Honours),BSC,MC-DMED,400.0,500.0,U,2015.0,3.0,Doctor of Medicine,0,20-21,,0,English,,Not Entered, 
186368,300.0,702,U,2010,8,Bachelor of Environments,BOE,,,,,,,,0,20-21,,1,English,,Not Entered, 
5250,100.0,603,U,2010,6,Bachelor of Science (Degree with Honours),BSC,,,,,,,,0,20-21,,0,English,,Not Entered, 
81395,100.0,603,U,2011,4,Bachelor of Science (Degree with Honours),BSC,,,,,,,,0,20-21,VIC,0,English,,Not Entered, 
84416,300.0,702,U,2011,8,Bachelor of Environments,BOE,MC-ARCH2Y,200.0,702.0,U,2014.0,6.0,Master of Architecture,0,20-21,QLD,0,English,Band3 - 85.00 - 89.95,Not Entered, 
144608,100.0,603,U,2011,4,Bachelor of Science (Degree with Honours),BSC,,,,,,,,0,25-29,VIC,0,English,,Not Entered, 
